4
daniel azul
beiker verde
sarahy rojo
laura morado
1.1 azul 3
1.2 rojo 5
1.3 rojo 5
1.4 morado 2
1.5 azul 5
1.6 rojo 1
1.7 morado 3
1.8 verde 2
1.9 rojo 3
2.1 azul 2
2.2 rojo 1
2.3 rojo 5
2.4 morado 4
3.1 rojo 4
3.2 azul 2
3.3 morado 3
3.4 azul 5
3.5 verde 3
3.6 azul 3
3.7 verde 1
4.1 rojo 2
4.2 morado 1
4.3 azul 2
4.4 rojo 3
4.5 morado 3
4.6 verde 2
5.1 azul 2
5.10 morado 4
5.11 morado 5
5.12 verde 2
5.2 verde 5
5.3 morado 3
5.4 verde 4
5.5 azul 2
5.6 verde 1
5.7 verde 4
5.8 rojo 1
5.9 azul 2
6.1 azul 2
6.2 verde 2
6.3 morado 2
6.4 verde 4
